Unnamed: 0.1,Unnamed: 0,product_name,sales_price,brand,colour,child_category,reviews,product_url,medium,cleaned_reviews,sentiment,predicted_sentiment
10,41,SWORNOF Women's Silk Saree With Blouse Piece (Blue),410,SWORNOF,Pink,WomensSarees,"Fantastic quality, will purchase more.",https://www.amazon.in/SWORNOF-Womens-Saree-Blouse-Piece/dp/B07Z23K3DR/,https://images-na.ssl-images-amazon.com/images/I/41O6PxBNTiL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ODHEG2rOL.jpg|https://images-na.ssl-images-amazon.com/images/I/51nLako0dtL.jpg|https://images-na.ssl-images-amazon.com/images/I/41cnCPc5keL.jpg,fantastic quality purchase,1,1
11,42,People Women's Regular Fit Top,251,Bememo,Dark Olive,WomensT_Shirts,Perfect!,https://www.amazon.in/People-Womens-Regular-T-Shirt-P2C289518387001_White_XXL/dp/B07FSMTM4S/,https://images-na.ssl-images-amazon.com/images/I/319nzLg5HiL.jpg|https://images-na.ssl-images-amazon.com/images/I/31wvXs2lpvL.jpg|https://images-na.ssl-images-amazon.com/images/I/31WMr6gXUYL.jpg|https://images-na.ssl-images-amazon.com/images/I/413SUOyGU2L.jpg|https://images-na.ssl-images-amazon.com/images/I/41Lb54k7ijL.jpg|https://images-na.ssl-images-amazon.com/images/I/31g5sXgv%2BlL.jpg,perfect,1,1
12,43,GURUS FOREVER RAYON PLAZZO XXL TO 5XL,499,Saheli,Red,WomensChuridarSalwarBottoms,Great addition to my wardrobe.,https://www.amazon.in/Saheli-Forever-Womens-Palazzo-EW-BW-2/dp/B07PZDND75/,https://images-na.ssl-images-amazon.com/images/I/31lpf2TU9aL.jpg|https://images-na.ssl-images-amazon.com/images/I/311q62A6rUL.jpg|https://images-na.ssl-images-amazon.com/images/I/31UVPr%2BdFkL.jpg,great addition wardrobe,1,1
13,44,Aurelia Women's Straight Kurta,648,CAPTAIN AMERICA,Pink,WomensKurtasKurtis,"Perfect for the season, very chic.",https://www.amazon.in/Aurelia-Womens-Straight-Kurta-17AUK13194-62633_RED_XL/dp/B0735G2RR4/,https://images-na.ssl-images-amazon.com/images/I/41laKoXcSSL.jpg|https://images-na.ssl-images-amazon.com/images/I/31eDLSCbMsL.jpg|https://images-na.ssl-images-amazon.com/images/I/41pJq0C2caL.jpg|https://images-na.ssl-images-amazon.com/images/I/51SKavCxAwL.jpg,perfect season chic,1,1
14,47,Rupa Thermocot Women's Plain/Solid Synthetic Thermal Bottom,373,Rupa Thermocot,Red,WomensThermalBottoms,Great addition to my wardrobe.,https://www.amazon.in/Rupa-Thermocot-Synthetic-Thermal-Volcano_Brown_85/dp/B075N46HW2/,https://images-na.ssl-images-amazon.com/images/I/415V10uXTwL.jpg|https://images-na.ssl-images-amazon.com/images/I/41GE%2BhquW%2BL.jpg,great addition wardrobe,1,1
15,48,Aai Shree Khodiyar Art Georgette Saree,545,Aai shree khodiyar art,Red,WomensSarees,"Material feels cheap, not worth the price.",https://www.amazon.in/Aai-Shree-Khodiyar-Georgette-20340_Red_/dp/B07MG59XDS/,https://images-na.ssl-images-amazon.com/images/I/41SgxA1gpoL.jpg|https://images-na.ssl-images-amazon.com/images/I/51d1Sb7eF4L.jpg,material feel cheap worth price,1,1
16,49,Lincy fashion women's anarkli gown (Semi-Stitched Gown_Free Size),559,Lincy fashion,Beige,WomensEthnicGowns,"Lovely texture, feels luxurious.",https://www.amazon.in/Lincy-fashion-anarkli-Semi-Stitched-Gown_Free/dp/B07ND2KPTK/,https://images-na.ssl-images-amazon.com/images/I/51h6EVNSpQL.jpg|https://images-na.ssl-images-amazon.com/images/I/51Uvh-jeYPL.jpg|https://images-na.ssl-images-amazon.com/images/I/51IWCulsOyL.jpg|https://images-na.ssl-images-amazon.com/images/I/418EES1whwL.jpg,lovely texture feel luxurious,1,1
17,54,Vinay's Women's Cotton Straight Kurta,496,Vinay's,CartoonBeige,WomensKurtasKurtis,"Seams are poorly stitched, very fragile.",https://www.amazon.in/Vinays-Printed-Straight-Occassion-Unstitched/dp/B0839JBJBT/,https://images-na.ssl-images-amazon.com/images/I/31HuWbdi-ZL.jpg|https://images-na.ssl-images-amazon.com/images/I/31MJr4mOZNL.jpg|https://images-na.ssl-images-amazon.com/images/I/31I2-opWuZL.jpg|https://images-na.ssl-images-amazon.com/images/I/31rGLYeLojL.jpg,seam poorly stitched fragile,-1,-1
18,58,SCH Regular Fit Women's Cotton Rayon Casual Palazzo,474,SCH,Maroon,WomensTrousers,"Fantastic quality, will purchase more.",https://www.amazon.in/SCH-Regular-Womens-Cotton-Palazzo/dp/B07J6S1MT2/,https://images-na.ssl-images-amazon.com/images/I/41SHFp4fAWL.jpg|https://images-na.ssl-images-amazon.com/images/I/31J88rr%2B6aL.jpg|https://images-na.ssl-images-amazon.com/images/I/31es4U%2BPG1L.jpg|https://images-na.ssl-images-amazon.com/images/I/31N0Oy5DAVL.jpg,fantastic quality purchase,1,1
19,70,Indigo Women's A-Line Kurti,244,Liang Rou,Beige,WomensKurtasKurtis,"Well-made and durable, worth the price.",https://www.amazon.in/Indigo-Womens-Rayon-SS19-IND-515_Indigo_L/dp/B07MN6CQTM/,https://images-na.ssl-images-amazon.com/images/I/41z7OCqRCtL.jpg|https://images-na.ssl-images-amazon.com/images/I/31CaZCpQVqL.jpg|https://images-na.ssl-images-amazon.com/images/I/41orC1XwHdL.jpg|https://images-na.ssl-images-amazon.com/images/I/51RaIASJp4L.jpg|https://images-na.ssl-images-amazon.com/images/I/41SpgJwBAHL.jpg,wellmade durable worth price,1,1
20,72,BIBA Women's Straight Kurta,699,BIBA,Pink,WomensKurtasKurtis,Fast shipping and great service.,https://www.amazon.in/BIBA-Womens-Straight-Kurta-MNMFESTIVE14102_YELLOW_32/dp/B07FH9S4B1/,https://images-na.ssl-images-amazon.com/images/I/31kewjvwuGL.jpg|https://images-na.ssl-images-amazon.com/images/I/41FIVMwAYcL.jpg|https://images-na.ssl-images-amazon.com/images/I/31PY3ZcZlzL.jpg|https://images-na.ssl-images-amazon.com/images/I/51y%2B5VQ-lyL.jpg|https://images-na.ssl-images-amazon.com/images/I/31GSlcoVMML.jpg,fast shipping great service,1,1
21,75,LOPA CORAL-PINK FOIL PRINTED & EMBROIDERED RAYON STRAIGHT FIT KURTA AND PRINTED PALAZZO,1199,LOPA,Lemon,WomensSalwarSuits,Great addition to my wardrobe.,https://www.amazon.in/LOPA-Printed-Embroidered-Straight-Palazzo/dp/B07SHJSFLN/,https://images-na.ssl-images-amazon.com/images/I/31sq%2BRV%2B7ML.jpg|https://images-na.ssl-images-amazon.com/images/I/31eBQkNtZsL.jpg|https://images-na.ssl-images-amazon.com/images/I/31vHhqS5wNL.jpg|https://images-na.ssl-images-amazon.com/images/I/31MPMBW%2BMzL.jpg|https://images-na.ssl-images-amazon.com/images/I/41FuiRLa95L.jpg,great addition wardrobe,1,1
22,76,Enchanted Drapes Womens' Blue Red Cheque Crepe Kurti [Size: M] {EDK0193},600,Enchanted Drapes,White,WomensKurtasKurtis,Great addition to my wardrobe.,https://www.amazon.in/Enchanted-Drapes-Womens-Cheque-Crepe/dp/B0784TNMSR/,https://images-na.ssl-images-amazon.com/images/I/41vV0VksWTL.jpg,great addition wardrobe,1,1
23,77,Aurelia Women's Cotton A-Line Kurta,832,Easies by Killer,Navy Pocket,WomensKurtasKurtis,"Superb craftsmanship, highly recommend.",https://www.amazon.in/Aurelia-Womens-Cotton-Line-19FEA10705-700310_Blue_Large/dp/B07LC98JMV/,https://images-na.ssl-images-amazon.com/images/I/41EPKldN8sL.jpg|https://images-na.ssl-images-amazon.com/images/I/31KxGbsRayL.jpg|https://images-na.ssl-images-amazon.com/images/I/31fQas5HMqL.jpg|https://images-na.ssl-images-amazon.com/images/I/51u4fFeCNYL.jpg|https://images-na.ssl-images-amazon.com/images/I/41PN70iqYoL.jpg|https://images-na.ssl-images-amazon.com/images/I/31rhALn3LRL.jpg|https://images-na.ssl-images-amazon.com/images/I/51pHlGOn27L.jpg,superb craftsmanship highly recommend,1,1
24,78,Levi's Women Sweater,1457,Everlush,Rani Pink,WomensPulloverSweaters,"Color is not as expected, but overall good.",https://www.amazon.in/Levis-59614-0002-Womens-Sweater-59614-0002_Multicoloured_L/dp/B07SKBD132/,https://images-na.ssl-images-amazon.com/images/I/41pEUJGp28L.jpg|https://images-na.ssl-images-amazon.com/images/I/515CAReLjIL.jpg|https://images-na.ssl-images-amazon.com/images/I/41z0W-e5TuL.jpg|https://images-na.ssl-images-amazon.com/images/I/512GIcx2ZCL.jpg|https://images-na.ssl-images-amazon.com/images/I/31gCqprNGWL.jpg,color expected overall good,1,1
25,80,BIBA Women's Straight Kurta,839,BIBA,Green,WomensKurtasKurtis,"Material feels cheap, not worth the price.",https://www.amazon.in/BIBA-Womens-Straight-MNMPRETTY-P13817_PINK_36/dp/B078W741TT/,https://images-na.ssl-images-amazon.com/images/I/411MDuf3C%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/31MZtFd%2BXVL.jpg|https://images-na.ssl-images-amazon.com/images/I/41tficYG6oL.jpg|https://images-na.ssl-images-amazon.com/images/I/51d6wJXx7YL.jpg,material feel cheap worth price,1,1
26,82,Digital Print Pattern Regular Fit C-Cut Kurti With Plazo,999,FABRIZIA,White & Black,WomensKurtasKurtis,"Perfect for the season, very chic.",https://www.amazon.in/Fabrizia-Black-Designer-Pattern-Regular/dp/B06X6MTM8K/,https://images-na.ssl-images-amazon.com/images/I/41LqOq-Xp%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/41j1hXJH9GL.jpg|https://images-na.ssl-images-amazon.com/images/I/41fRBu%2BQw8L.jpg|https://images-na.ssl-images-amazon.com/images/I/41cU8DIUk5L.jpg|https://images-na.ssl-images-amazon.com/images/I/61bksUfBKfL.jpg|https://images-na.ssl-images-amazon.com/images/I/417N-c8stSL.jpg,perfect season chic,1,1
27,84,WonderWink Women's Wonderwork Women's V-Neck Scrub Top,2731,WonderWink,Galaxy Blue,WomensTops,"Love the design, very comfortable.",https://www.amazon.in/WonderWink-Womens-Wonderwork-V-Neck-XX-Small/dp/B014JGUN66/,https://images-na.ssl-images-amazon.com/images/I/41y6JV0jlTL.jpg|https://images-na.ssl-images-amazon.com/images/I/412UdG6PPXL.jpg,love design comfortable,1,1
28,88,ONLY Women's Plain Regular Fit Top,1301,SPIbelt,Rain forest,WomensTops,"Exceeded my expectations, very pleased.",https://www.amazon.in/ONLY-Womens-Plain-Regular-15144024_Silver_36/dp/B079D86VVT/,https://images-na.ssl-images-amazon.com/images/I/51Cm-yYVlaL.jpg|https://images-na.ssl-images-amazon.com/images/I/41uGSb5dyRL.jpg|https://images-na.ssl-images-amazon.com/images/I/413QpPGkWWL.jpg|https://images-na.ssl-images-amazon.com/images/I/51Wthg5UTmL.jpg|https://images-na.ssl-images-amazon.com/images/I/31UHlC%2BnCdL.jpg,exceeded expectation pleased,1,1
29,92,Alena Cotton Women casual wear kurta in Beige Colour Size,660,ALENA,Navy Blue,WomensKurtasKurtis,Cheap!,https://www.amazon.in/Alena-Cotton-Women-casual-Colour/dp/B07PJWDK3Q/,https://images-na.ssl-images-amazon.com/images/I/41vRF4m61CL.jpg|https://images-na.ssl-images-amazon.com/images/I/41SkjbALewL.jpg|https://images-na.ssl-images-amazon.com/images/I/41SkjbALewL.jpg|https://images-na.ssl-images-amazon.com/images/I/41SkjbALewL.jpg,cheap,1,1
30,93,Child Cottage Banarasi Silk Saree,1500,CHILD COTTAGE,Wine,WomensSarees,"Beautiful and stylish, highly recommend!",https://www.amazon.in/Child-Cottage-Banarasi-CCS3-11-12-Years_Multicolour/dp/B07DN8PLMW/,https://images-na.ssl-images-amazon.com/images/I/41cf8NxGGuL.jpg,beautiful stylish highly recommend,1,1
31,95,Mimosa Art Chiffon saree Kanjivarm Pattu style With Running Blouse Color: Green (4313-2280-SD-OLV),3549,MIMOSA,Red,WomensSarees,"Fantastic quality, will purchase more.",https://www.amazon.in/Mimosa-Chiffon-Wedding-Kanjivarm-Running/dp/B07H7JSZWT/,https://images-na.ssl-images-amazon.com/images/I/41jas8gb64L.jpg|https://images-na.ssl-images-amazon.com/images/I/41l6CntHcpL.jpg|https://images-na.ssl-images-amazon.com/images/I/417TOtWE9EL.jpg|https://images-na.ssl-images-amazon.com/images/I/41vFvoYFr9L.jpg|https://images-na.ssl-images-amazon.com/images/I/41TYTDq9xpL.jpg|https://images-na.ssl-images-amazon.com/images/I/41RqBGmVMqL.jpg|https://images-na.ssl-images-amazon.com/images/I/31VnN6y%2B%2BhL.jpg|https://images-na.ssl-images-amazon.com/images/I/51AkygCLlYL.jpg,fantastic quality purchase,1,1
32,98,Jaipur Kurti Women's Straight Kurta,1139,GRAND DERBY,GREY MELANGE,WomensKurtasKurtis,Love it!,https://www.amazon.in/Jaipur-Kurti-Womens-Straight-JK3044-S_Brown/dp/B078JL8H4G/,https://images-na.ssl-images-amazon.com/images/I/41ABZTV%2BAtL.jpg|https://images-na.ssl-images-amazon.com/images/I/41mADbgkVhL.jpg|https://images-na.ssl-images-amazon.com/images/I/41MlRVLnjPL.jpg|https://images-na.ssl-images-amazon.com/images/I/51TR27Nuz7L.jpg,love,1,1
33,100,Paramount Hand Embroiderey Chikan Kurti for Women,899,Paramount,Brown,WomensKurtasKurtis,Love it!,https://www.amazon.in/Paramount-Embroiderey-Chikan-Kurti-42-Large/dp/B07XTPWL7K/,https://images-na.ssl-images-amazon.com/images/I/31Yl-vC3kHL.jpg|https://images-na.ssl-images-amazon.com/images/I/31UqKbszZSL.jpg|https://images-na.ssl-images-amazon.com/images/I/31bjk8ggACL.jpg|https://images-na.ssl-images-amazon.com/images/I/31RFlo51djL.jpg|https://images-na.ssl-images-amazon.com/images/I/51RQsMFO-SL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ixtR6RluL.jpg|https://images-na.ssl-images-amazon.com/images/I/31rFFqlJNsL.jpg,love,1,1
34,101,ALC Creations Women's Faux Crepe Straight Kurti,355,ALC Creation,Blue,WomensKurtasKurtis,"Lovely texture, feels luxurious.",https://www.amazon.in/ALC-Creations-Womens-Straight-ALC2060DRB_Blue_XL/dp/B0754Q795C/,https://images-na.ssl-images-amazon.com/images/I/419FyIloXNL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ri7kEkrwL.jpg|https://images-na.ssl-images-amazon.com/images/I/41vDcI%2BCh7L.jpg|https://images-na.ssl-images-amazon.com/images/I/31k8BSH6VML.jpg,lovely texture feel luxurious,1,1
35,104,Drapes Women's Cotton Printed Unstitched Dress Material (Black),527,Drapes,Blue,WomensEthnicUnstitchedFabric,"Unpleasant odor, had to wash multiple times.",https://www.amazon.in/Drapes-Womens-Printed-Unstitched-Material/dp/B01B931AY6/,https://images-na.ssl-images-amazon.com/images/I/511LS2m7B0L.jpg|https://images-na.ssl-images-amazon.com/images/I/41tDiD1o4lL.jpg|https://images-na.ssl-images-amazon.com/images/I/41XTQL1XBiL.jpg|https://images-na.ssl-images-amazon.com/images/I/61BScE2OKsL.jpg,unpleasant odor wash multiple time,-1,-1
36,107,Varkala Silk Sarees Women's Banarasi Soft Cotton Silk Saree (V161RNNB-SM_Magenta & Navy Blue_Free Size),1179,VARKALA SILK SAREES,Black,WomensSarees,"Stylish and affordable, great buy.",https://www.amazon.in/Varkala-Sarees-Banarasi-V161RNNB-SM_Magenta-Blue_Free/dp/B07WTL2HDV/,https://images-na.ssl-images-amazon.com/images/I/31ZHKDXu5GL.jpg|https://images-na.ssl-images-amazon.com/images/I/41RvDHJrO3L.jpg|https://images-na.ssl-images-amazon.com/images/I/612OBRWE0XL.jpg|https://images-na.ssl-images-amazon.com/images/I/31K2OcrzYwL.jpg,stylish affordable great buy,1,1
37,108,ABOF Women Sweatshirt,397,ABOF,MUSTED,WomensSweatshirtsHoodies,Amazing!,https://www.amazon.in/ABOF-Sweatshirt-BOA19AWWWSS3008579_Grey-Melange-Black_Large/dp/B07VTCNLQV/,https://images-na.ssl-images-amazon.com/images/I/41F%2Bin66A5L.jpg|https://images-na.ssl-images-amazon.com/images/I/41mZL1BlqfL.jpg|https://images-na.ssl-images-amazon.com/images/I/41xnHCEao3L.jpg|https://images-na.ssl-images-amazon.com/images/I/41wSYtbkVZL.jpg|https://images-na.ssl-images-amazon.com/images/I/31CBKPOo2AL.jpg,amazing,1,1
38,113,Jevi Prints Women's Unstitched Cotton Blue Chevron Printed Kurti Fabric (Fabric only for Top) (S-1604),499,Jevi Prints,High-rise,WomensEthnicUnstitchedFabric,Fantastic!,https://www.amazon.in/Jevi-Prints-Unstitched-Chevron-Printed/dp/B079RGYY4R/,https://images-na.ssl-images-amazon.com/images/I/519i6RC9jmL.jpg|https://images-na.ssl-images-amazon.com/images/I/51ztRsT9QqL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Eo-lB9D9L.jpg|https://images-na.ssl-images-amazon.com/images/I/51wLzX8pNHL.jpg,fantastic,1,1
39,115,Aurelia Women's cotton straight Kurta,281,STC,"Pure Black, Deep Red",WomensKurtasKurtis,Looks different from the pictures.,https://www.amazon.in/Aurelia-Womens-Cotton-Straight-19FEA10626-700212_Blue_Xx-Large/dp/B07LC9HXCD/,https://images-na.ssl-images-amazon.com/images/I/41vJMpbumEL.jpg|https://images-na.ssl-images-amazon.com/images/I/31P1gsX48sL.jpg|https://images-na.ssl-images-amazon.com/images/I/41X47OCx5EL.jpg|https://images-na.ssl-images-amazon.com/images/I/51ZlmqE8tiL.jpg|https://images-na.ssl-images-amazon.com/images/I/31Eezw34HaL.jpg,look different picture,0,0
40,121,Rangriti Women's Asymmetric Kurta,739,Anaisa,Royal Blue,WomensKurtasKurtis,"Size runs a bit small, order one size up.",https://www.amazon.in/Rangriti-Womens-Asymmetric-Kurta-DEVIYANI4165A_Beige_34/dp/B01AAD4HYQ/,https://images-na.ssl-images-amazon.com/images/I/41w3Bbm6aaL.jpg|https://images-na.ssl-images-amazon.com/images/I/413gPmAofwL.jpg,size run bit small order one size,-1,-1
41,122,JAIPUR ATTIRE Women's Cotton Flared Kurti,784,JAIPUR ATTIRE,USPA Blue,WomensKurtasKurtis,Great addition to my wardrobe.,https://www.amazon.in/JAIPUR-ATTIRE-Womens-JA1394_S-Beige-Maroon/dp/B07PVPNHPV/,https://images-na.ssl-images-amazon.com/images/I/41kSuAymBlL.jpg|https://images-na.ssl-images-amazon.com/images/I/410IR9WpMzL.jpg|https://images-na.ssl-images-amazon.com/images/I/41eirEVtkBL.jpg|https://images-na.ssl-images-amazon.com/images/I/41zwJumwhKL.jpg|https://images-na.ssl-images-amazon.com/images/I/41u6cieYcZL.jpg,great addition wardrobe,1,1
42,128,Fabclub Women's Cambric Cotton Floral Printed Straight Kurti,599,Fabclub,Golden Yellow,WomensKurtasKurtis,"Excellent product, will buy again.",https://www.amazon.in/Fabclub-Womens-Cambric-Printed-Straight/dp/B07Y388C66/,https://images-na.ssl-images-amazon.com/images/I/31H2NE5r4rL.jpg|https://images-na.ssl-images-amazon.com/images/I/31q6nR7VnFL.jpg|https://images-na.ssl-images-amazon.com/images/I/31u-E0rNIEL.jpg|https://images-na.ssl-images-amazon.com/images/I/31X8aJ0T0pL.jpg|https://images-na.ssl-images-amazon.com/images/I/51EUhsXjFFL.jpg,excellent product buy,1,1
43,137,Smit Enterprise Kachhi Bandhani Cotton Silk Unstitched Dress Material For Women,1399,Smit,pink,WomensEthnicUnstitchedFabric,"Perfect for the season, very chic.",https://www.amazon.in/Smit-Enterprise-Bandhani-Unstitched-Material/dp/B07VG3DW5C/,https://images-na.ssl-images-amazon.com/images/I/513Q4hs6HcL.jpg|https://images-na.ssl-images-amazon.com/images/I/514V4-So3hL.jpg|https://images-na.ssl-images-amazon.com/images/I/41nSIlRHehL.jpg|https://images-na.ssl-images-amazon.com/images/I/31xPOSVYdJL.jpg,perfect season chic,1,1
44,142,Mehrunnisa BAGRU MAHESHWARI Cotton Silk Saree With Blouse Piece From Jaipur,2995,Mehrunnisa,Indigo Black,WomensSarees,Soft fabric and vibrant color.,https://www.amazon.in/Mehrunnisa-MAHESHWARI-Cotton-Blouse-Jaipur/dp/B07F8Z8QBK/,https://images-na.ssl-images-amazon.com/images/I/41RWXV1fDtL.jpg|https://images-na.ssl-images-amazon.com/images/I/41MVoJOD7GL.jpg|https://images-na.ssl-images-amazon.com/images/I/41y77L4gjKL.jpg,soft fabric vibrant color,1,1
45,143,pietra Combo Plain Patiala Salwar and Dhoti for Women,1399,pietra,Light Blue Royal Blue,WomensChuridarSalwarBottoms,"Exceeded my expectations, very pleased.",https://www.amazon.in/Pietra-Patiyala-salwar-PRT-152-_Multi/dp/B071DXQ9DQ/,https://images-na.ssl-images-amazon.com/images/I/41Fo7%2BbeyLL.jpg|https://images-na.ssl-images-amazon.com/images/I/41dQn2rXL-L.jpg|https://images-na.ssl-images-amazon.com/images/I/41mhA8DxzSL.jpg|https://images-na.ssl-images-amazon.com/images/I/41P3YbDNxSL.jpg|https://images-na.ssl-images-amazon.com/images/I/41OewyxpdqL.jpg|https://images-na.ssl-images-amazon.com/images/I/414YmOPbbfL.jpg|https://images-na.ssl-images-amazon.com/images/I/41CzqzJoanL.jpg,exceeded expectation pleased,1,1
