Unnamed: 0,product_name,sales_price,brand,colour,child_category,reviews,product_url,medium,cleaned_reviews,sentiment,predicted_sentiment
199,Parx Grey Slim Fit Cotton Blend Casual Shirt,649,Zoiro,White,MensCasualShirts,"Color is not as expected, but overall good.",https://www.amazon.in/Parx-Plain-Casual-XMSS07664-G4_Medium-Grey_40/dp/B07FLJ7M3Z/,https://images-na.ssl-images-amazon.com/images/I/41rMcIrEkLL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Y5wncfeTL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ELKtk-kHL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Mu8kCkvpL.jpg,color expected overall good,1,1
227,blackberrys Men's Solid Slim Fit Casual Shirt,1384,Lil Orchids,College Green,MensCasualShirts,"Stylish and affordable, great buy.",https://www.amazon.in/blackberrys-Solid-Casual-Shirt-USBU2583G1NS18FL42/dp/B078WBVXY7/,https://images-na.ssl-images-amazon.com/images/I/41zqqOb%2BWyL.jpg|https://images-na.ssl-images-amazon.com/images/I/41L2-SIlxJL.jpg|https://images-na.ssl-images-amazon.com/images/I/41MOWsfkCEL.jpg|https://images-na.ssl-images-amazon.com/images/I/31aEPtonyPL.jpg,stylish affordable great buy,1,1
278,Lee Men's Checkered Slim Fit Casual Shirt,399,GLINDAR,multi-pink,MensCasualShirts,"Lovely texture, feels luxurious.",https://www.amazon.in/Lee-Checkered-Casual-Shirt-L33584CB0X860XL_Red_X-Large/dp/B07DMH7WMQ/,https://images-na.ssl-images-amazon.com/images/I/41QfGnuQS0L.jpg|https://images-na.ssl-images-amazon.com/images/I/41k6a4gGVoL.jpg|https://images-na.ssl-images-amazon.com/images/I/51GURQBfL3L.jpg|https://images-na.ssl-images-amazon.com/images/I/41Oup0v-v3L.jpg,lovely texture feel luxurious,1,1
290,KILLER Men's Solid Slim Fit Casual Shirt,1448,Incredibles,Navy,MensCasualShirts,"Perfect for the season, very chic.",https://www.amazon.in/KILLER-Casual-K-8413-Classy-K071FSSLNDR/dp/B07FHH3KLM/,https://images-na.ssl-images-amazon.com/images/I/317DWrxXzlL.jpg|https://images-na.ssl-images-amazon.com/images/I/31ty019MkDL.jpg|https://images-na.ssl-images-amazon.com/images/I/31YX3vbFd6L.jpg|https://images-na.ssl-images-amazon.com/images/I/31EgY7vpDWL.jpg|https://images-na.ssl-images-amazon.com/images/I/31Oykdfz2OL.jpg,perfect season chic,1,1
307,Peter England Men's Plain Slim Fit Formal Shirt,549,Grace Lifestyle Private Limited,Green & Red,MensCasualShirts,Amazing!,https://www.amazon.in/Peter-England-Formal-ISF5170024840_40_Medium-Purple/dp/B078YW35DX/,https://images-na.ssl-images-amazon.com/images/I/412FkISqSPL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Z%2BFwxoj8L.jpg|https://images-na.ssl-images-amazon.com/images/I/51GFwiEd5GL.jpg|https://images-na.ssl-images-amazon.com/images/I/41bVJmeSMCL.jpg,amazing,1,1
315,Peter England Men's Checkered Loose Fit Casual Shirt,568,MSE,White,MensCasualShirts,Price is too high for the quality.,https://www.amazon.in/Peter-England-Checkered-Casual-PJSFJSSF522965_Multicolor_42/dp/B07PFBL45J/,https://images-na.ssl-images-amazon.com/images/I/41o4Z90GGNL.jpg|https://images-na.ssl-images-amazon.com/images/I/41hMtWFJr0L.jpg|https://images-na.ssl-images-amazon.com/images/I/41JZKeOK4lL.jpg|https://images-na.ssl-images-amazon.com/images/I/31TgWdCTzvL.jpg,price high quality,1,1
324,People Men's Slim fit Casual Shirt,318,Welch,Red,MensCasualShirts,"Amazing fit, looks great!",https://www.amazon.in/People-Printed-Casual-Shirt-P1D216319MCS001_White_40/dp/B07N27HBB6/,https://images-na.ssl-images-amazon.com/images/I/417r7LiZubL.jpg|https://images-na.ssl-images-amazon.com/images/I/41eUs%2BHNXFL.jpg|https://images-na.ssl-images-amazon.com/images/I/41q7n5yN8bL.jpg|https://images-na.ssl-images-amazon.com/images/I/31HrRW0yIWL.jpg|https://images-na.ssl-images-amazon.com/images/I/31TFdt%2BFaoL.jpg,amazing fit look great,1,1
351,Peter England Men's Checkered Slim fit Casual Shirt,299,Globalia Creation,White,MensCasualShirts,"Color is not as expected, but overall good.",https://www.amazon.in/Peter-England-Checkered-Casual-PJSFJSSFW92161_DarkBlue_40/dp/B07M963MVN/,https://images-na.ssl-images-amazon.com/images/I/41FaEppWbEL.jpg|https://images-na.ssl-images-amazon.com/images/I/41y3WVagnNL.jpg|https://images-na.ssl-images-amazon.com/images/I/51jra%2BX3c1L.jpg|https://images-na.ssl-images-amazon.com/images/I/419CiAyP%2B6L.jpg|https://images-na.ssl-images-amazon.com/images/I/51h%2BBSsqtoL.jpg,color expected overall good,1,1
405,Parx Men's Plain Slim Fit Casual Shirt,950,StreeFashion,Red,MensCasualShirts,"Amazing fit, looks great!",https://www.amazon.in/Parx-Plain-Casual-XMSS07820-R7_Dark-Red_40/dp/B07FL6QT12/,https://images-na.ssl-images-amazon.com/images/I/41JUo1KdEML.jpg|https://images-na.ssl-images-amazon.com/images/I/41ak8SIZBLL.jpg|https://images-na.ssl-images-amazon.com/images/I/4108OMI%2BkPL.jpg|https://images-na.ssl-images-amazon.com/images/I/41wwpUfuegL.jpg,amazing fit look great,1,1
407,Colorplus Men's Casual Shirt,799,Colorplus,Sky/Black,MensCasualShirts,"Perfect for the season, very chic.",https://www.amazon.in/Colorplus-Casual-Shirt-8907397533178_CMSS25901-E6_Large_Dark-Orange/dp/B01HGIIJSI/,https://images-na.ssl-images-amazon.com/images/I/51ukQ5bCVSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51n2LPbxlOL.jpg|https://images-na.ssl-images-amazon.com/images/I/61x7ACRuq6L.jpg|https://images-na.ssl-images-amazon.com/images/I/61vX58RFYEL.jpg|https://images-na.ssl-images-amazon.com/images/I/3168YJYRgbL.jpg,perfect season chic,1,1
411,Calvin Klein Jeans Men's Solid Regular Fit Casual Shirt,1594,Calvin Klein Jeans,Black,MensCasualShirts,Looks different from the pictures.,https://www.amazon.in/Calvin-Klein-Jeans-Regular-4AFWR71496_Peacoat_Large/dp/B07GJN8HLP/,https://images-na.ssl-images-amazon.com/images/I/31ljyEHqAhL.jpg|https://images-na.ssl-images-amazon.com/images/I/31VLh8wdhKL.jpg|https://images-na.ssl-images-amazon.com/images/I/41wGupYViFL.jpg|https://images-na.ssl-images-amazon.com/images/I/31l6YAJRziL.jpg,look different picture,0,0
506,Casual Shirts for Men|Regular fit|Full Sleeve|Cotton Casual Shirt|Mens Casual,958,Relish Shirts,Blue,MensCasualShirts,"Love the design, very comfortable.",https://www.amazon.in/Relish-Shirts-Casual-Sleeve-Cotton/dp/B076FS3736/,https://images-na.ssl-images-amazon.com/images/I/51%2BkwPOdW-L.jpg,love design comfortable,1,1
567,blackberrys Men's Printed Slim Fit Casual Shirt,549,Skidders,Dark Green,MensCasualShirts,Great addition to my wardrobe.,https://www.amazon.in/blackberrys-Printed-Casual-Shirt-ESCC3693W1NA18FL44_White_44/dp/B07FHRKMSF/,https://images-na.ssl-images-amazon.com/images/I/31uNhykPKqL.jpg|https://images-na.ssl-images-amazon.com/images/I/41C2MxhmaYL.jpg|https://images-na.ssl-images-amazon.com/images/I/41UErZo10zL.jpg|https://images-na.ssl-images-amazon.com/images/I/31dvUNRrSML.jpg,great addition wardrobe,1,1
569,United Colors of Benetton Men's Printed Slim Fit Casual Shirt,1015,Adyah Enterprise,Purple,MensCasualShirts,"Exceeded my expectations, very pleased.",https://www.amazon.in/United-Colors-Benetton-Printed-203765057_Navy_M/dp/B07BMXS6T3/,https://images-na.ssl-images-amazon.com/images/I/51OKsl%2BLCML.jpg|https://images-na.ssl-images-amazon.com/images/I/41B7EnUjSvL.jpg|https://images-na.ssl-images-amazon.com/images/I/51nBNQw5sQL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Mlm4ZZrLL.jpg,exceeded expectation pleased,1,1
578,United Colors of Benetton Men's Solid Regular Fit Cotton Casual Shirt,349,VRINDA COUTURE,Red,MensCasualShirts,"Size runs a bit small, order one size up.",https://www.amazon.in/United-Colors-Benetton-Regular-8903975565579_17A5CKU5QD28G_EL_Red/dp/B077VKZGCK/,https://images-na.ssl-images-amazon.com/images/I/41UUkgAGAfL.jpg|https://images-na.ssl-images-amazon.com/images/I/418CopPvHTL.jpg|https://images-na.ssl-images-amazon.com/images/I/51K0HaZ4RtL.jpg|https://images-na.ssl-images-amazon.com/images/I/31uO5ohP%2B2L.jpg,size run bit small order one size,-1,-1
606,Allen Solly Men's Solid Slim Fit Casual Shirt,214,HARISH Ikat fabrics,Rani,MensCasualShirts,Soft fabric and vibrant color.,https://www.amazon.in/Allen-Solly-Solid-Casual-ASSFWSPF185206_Purple_38/dp/B07PZP6PHL/,https://images-na.ssl-images-amazon.com/images/I/31KsXsEWztL.jpg|https://images-na.ssl-images-amazon.com/images/I/310mlExpzNL.jpg|https://images-na.ssl-images-amazon.com/images/I/313knVcBSIL.jpg|https://images-na.ssl-images-amazon.com/images/I/31I7Hlx6VcL.jpg|https://images-na.ssl-images-amazon.com/images/I/41jOSrKvzOL.jpg,soft fabric vibrant color,1,1
615,MISHIKACREATIONS Men's Cotton Chinese Collar Solid Casual Shirt - Combo of 2,3839,MISHIKACREATIONS,Light Blue Red,MensCasualShirts,Fabric pilled after a few wears.,https://www.amazon.in/MISHIKACREATIONS-Cotton-Chinese-Collar-Casual/dp/B07NS93RKM/,https://images-na.ssl-images-amazon.com/images/I/41n0ho-ruLL.jpg|https://images-na.ssl-images-amazon.com/images/I/41iQgRcoQxL.jpg|https://images-na.ssl-images-amazon.com/images/I/31X3psJFPdL.jpg|https://images-na.ssl-images-amazon.com/images/I/414hGqJTMKL.jpg|https://images-na.ssl-images-amazon.com/images/I/3172SyHJO1L.jpg|https://images-na.ssl-images-amazon.com/images/I/51hd23ckhwL.jpg,fabric pilled wear,0,0
620,Pan America Men's Printed Slim Fit Casual Shirt,732,Pan America,ASSORTED_COLOR,MensCasualShirts,"Love the design, very comfortable.",https://www.amazon.in/Pan-America-Printed-Casual-892694_40/dp/B07PJDWSQ8/,https://images-na.ssl-images-amazon.com/images/I/41z%2BxQ24QZL.jpg|https://images-na.ssl-images-amazon.com/images/I/41MVUdm%2Bs5L.jpg|https://images-na.ssl-images-amazon.com/images/I/41e3c-9C8YL.jpg|https://images-na.ssl-images-amazon.com/images/I/412L2K2kCtL.jpg|https://images-na.ssl-images-amazon.com/images/I/51OonjRQSaL.jpg|https://images-na.ssl-images-amazon.com/images/I/41hM3TaFipL.jpg,love design comfortable,1,1
643,Peter England Men's Printed Slim Fit Cotton Casual Shirt,220,Siyaram's,Red,MensCasualShirts,"Comfortable and stylish, love it!",https://www.amazon.in/Peter-England-Printed-Cotton-ESF617000614_Whitewithblue_40/dp/B077HVR7ZC/,https://images-na.ssl-images-amazon.com/images/I/41pEFKQvibL.jpg|https://images-na.ssl-images-amazon.com/images/I/41XSm9VMASL.jpg|https://images-na.ssl-images-amazon.com/images/I/51GJDdvdDCL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Of6FH8cRL.jpg|https://images-na.ssl-images-amazon.com/images/I/31z3M1TwiUL.jpg,comfortable stylish love,1,1
692,Zeal Half Sleeve Shirt for Men Cotton Casual Orange Regular Fit Plain or Solid,499,Zeal,Grey,MensCasualShirts,"Well-made and durable, worth the price.",https://www.amazon.in/Zeal-Sleeve-Cotton-Stylish-Regular/dp/B07J66BD7F/,https://images-na.ssl-images-amazon.com/images/I/41MfhQm5WML.jpg|https://images-na.ssl-images-amazon.com/images/I/31IDqZgVvOL.jpg|https://images-na.ssl-images-amazon.com/images/I/41115N7zdxL.jpg|https://images-na.ssl-images-amazon.com/images/I/41j8P8FDFgL.jpg|https://images-na.ssl-images-amazon.com/images/I/319dpGJ6u%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/31--OE7qiTL.jpg|https://images-na.ssl-images-amazon.com/images/I/41paGekasUL.jpg,wellmade durable worth price,1,1
698,United Colors of Benetton Men's Plain Slim fit Casual Shirt,1499,OyeMonkey,Dk Denim,MensCasualShirts,"Fits like a glove, very flattering.",https://www.amazon.in/United-Colors-Benetton-Casual-19P5FN16U008I_G50_Yellow_S/dp/B07L5VQ422/,https://images-na.ssl-images-amazon.com/images/I/41h5CayTAjL.jpg|https://images-na.ssl-images-amazon.com/images/I/31kogaKNoIL.jpg|https://images-na.ssl-images-amazon.com/images/I/31oVeMW%2BXOL.jpg|https://images-na.ssl-images-amazon.com/images/I/31jANgtKimL.jpg|https://images-na.ssl-images-amazon.com/images/I/31ySvaDpUdL.jpg,fit like glove flattering,1,1
720,Pepe Jeans Men's Casual Shirt,585,ATTIRE FASHIONS,Burgundy,MensCasualShirts,"Perfect for the season, very chic.",https://www.amazon.in/Pepe-Jeans-Casual-Shirt-8907557314609_PIMW200101TOBACOXL/dp/B073VT51JH/,https://images-na.ssl-images-amazon.com/images/I/41i7nnCv%2BBL.jpg|https://images-na.ssl-images-amazon.com/images/I/41tmOm%2BlRIL.jpg|https://images-na.ssl-images-amazon.com/images/I/51nXO3vNj4L.jpg|https://images-na.ssl-images-amazon.com/images/I/41saSvSLV9L.jpg,perfect season chic,1,1
777,Red Tape Men's Checkered Regular fit Casual Shirt,698,Kindle Joy,Turquoise Blue,MensCasualShirts,Fantastic!,https://www.amazon.in/Red-Tape-Checkered-RFS0404_Light-Blue_Large/dp/B07P6J87PX/,https://images-na.ssl-images-amazon.com/images/I/41Hh6-lsLaL.jpg|https://images-na.ssl-images-amazon.com/images/I/41qf8x40grL.jpg|https://images-na.ssl-images-amazon.com/images/I/51mD-GxfYEL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Pz-NQ8IhL.jpg|https://images-na.ssl-images-amazon.com/images/I/515h7mDMcoL.jpg,fantastic,1,1
832,Neostreak Men's Slim Fit Stretchable Jeans,649,Wrodss,Silver,MensJeans,"Well-made and durable, worth the price.",https://www.amazon.in/Neostreak-Mens-Slim-Jeans-neonwibwhskrjean-14-mblue-30_Blue_30W/dp/B07MJFJGCP/,https://images-na.ssl-images-amazon.com/images/I/41mTL0OBW3L.jpg|https://images-na.ssl-images-amazon.com/images/I/3163azK3YHL.jpg|https://images-na.ssl-images-amazon.com/images/I/51N-EjuxQnL.jpg|https://images-na.ssl-images-amazon.com/images/I/51AXdD-0%2BGL.jpg|https://images-na.ssl-images-amazon.com/images/I/416SQ2fGXjL.jpg|https://images-na.ssl-images-amazon.com/images/I/31pKN3KeXcL.jpg,wellmade durable worth price,1,1
834,STUDIO NEXX Men's Slim Fit Cotton Casual Shirt,449,STUDIO NEXX,Lemon Green,MensCasualShirts,"Exactly as described, very satisfied.",https://www.amazon.in/STUDIO-NEXX-Cotton-Casual-Shirt/dp/B07YFGQ24X/,https://images-na.ssl-images-amazon.com/images/I/41NQQtrktyL.jpg|https://images-na.ssl-images-amazon.com/images/I/41HNxXlLBfL.jpg|https://images-na.ssl-images-amazon.com/images/I/31C2HWFDC3L.jpg|https://images-na.ssl-images-amazon.com/images/I/41Rz9vImuEL.jpg|https://images-na.ssl-images-amazon.com/images/I/41u7Rnx6Z%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/31g6s181LUL.jpg,exactly described satisfied,1,1
843,Peter England Men's Printed Slim Fit Casual Shirt,416,Winza Designer,Blue,MensCasualShirts,Great addition to my wardrobe.,https://www.amazon.in/Peter-England-Printed-ESF517013880_White-Khaki_39/dp/B07B56K83F/,https://images-na.ssl-images-amazon.com/images/I/41e-3b9b6fL.jpg|https://images-na.ssl-images-amazon.com/images/I/41XDlTgaY7L.jpg|https://images-na.ssl-images-amazon.com/images/I/510AmH7WF3L.jpg|https://images-na.ssl-images-amazon.com/images/I/411KY0Xx9FL.jpg,great addition wardrobe,1,1
845,Peter England Men's Plain Slim Fit Casual Shirt,223,Sri Belha Fashions,Black,MensCasualShirts,Perfect!,https://www.amazon.in/Peter-England-Casual-PCSFCSLFF79891_Dark-Blue_39/dp/B07F47VR2K/,https://images-na.ssl-images-amazon.com/images/I/313X0irNPHL.jpg|https://images-na.ssl-images-amazon.com/images/I/313tC%2BBNOOL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Wdpw%2B%2BX0L.jpg|https://images-na.ssl-images-amazon.com/images/I/31-Ao-6XujL.jpg,perfect,1,1
854,United Colors of Benetton Men's Printed Slim Fit Casual Shirt,549,Devil,Blue,MensCasualShirts,"Stylish and affordable, great buy.",https://www.amazon.in/United-Colors-Benetton-Printed-18A5DS18U008I_901_EL_Blue/dp/B07DMQM96T/,https://images-na.ssl-images-amazon.com/images/I/41T-iTL9n0L.jpg|https://images-na.ssl-images-amazon.com/images/I/41PAYZSSRUL.jpg|https://images-na.ssl-images-amazon.com/images/I/61bCTFT-6uL.jpg|https://images-na.ssl-images-amazon.com/images/I/51litd%2ByjcL.jpg|https://images-na.ssl-images-amazon.com/images/I/31ugaRWDoYL.jpg,stylish affordable great buy,1,1
858,Peter England Men's Printed Slim Fit Casual Shirt,950,Paul Costelleo,Blue,MensCasualShirts,Fabric shrinks after washing.,https://www.amazon.in/Peter-England-Printed-Casual-ESF51704082_Lightgreywithblue_40/dp/B078WS517S/,https://images-na.ssl-images-amazon.com/images/I/41VSE6RwC8L.jpg|https://images-na.ssl-images-amazon.com/images/I/41UgNZFrSwL.jpg|https://images-na.ssl-images-amazon.com/images/I/61LG7TW4QlL.jpg|https://images-na.ssl-images-amazon.com/images/I/61BTojIwfsL.jpg|https://images-na.ssl-images-amazon.com/images/I/31NBlDZztXL.jpg,fabric shrink washing,0,0
889,Flying Machine Men's Checkered Slim Fit Casual Shirt,249,SilverStar,Grey,MensCasualShirts,"Fantastic quality, will purchase more.",https://www.amazon.in/Flying-Machine-Checkered-Casual-FMSH8010_Blue_XX-Large/dp/B078GVYVHG/,https://images-na.ssl-images-amazon.com/images/I/51%2BVpbAQXkL.jpg|https://images-na.ssl-images-amazon.com/images/I/51ZHUiwRYEL.jpg|https://images-na.ssl-images-amazon.com/images/I/51dduQmiKiL.jpg|https://images-na.ssl-images-amazon.com/images/I/41wpvoF7ysL.jpg,fantastic quality purchase,1,1
893,Beat London by Pepe Jeans Men's Printed Slim Fit Casual Shirt,637,Beat London by Pepe Jeans,Black:Grey:Black,MensCasualShirts,"Material feels cheap, not worth the price.",https://www.amazon.in/Pepe-Jeans-London-Printed-PM305768_Grey_XL/dp/B07H84HB1Z/,https://images-na.ssl-images-amazon.com/images/I/41bG0MZwFxL.jpg|https://images-na.ssl-images-amazon.com/images/I/41nIdUbXHmL.jpg|https://images-na.ssl-images-amazon.com/images/I/51fcmgwPPHL.jpg|https://images-na.ssl-images-amazon.com/images/I/31u-FvRXaeL.jpg,material feel cheap worth price,1,1
898,Jack & Jones Men's Solid Slim Fit Casual Shirt,1290,Top Fusion,blue print,MensCasualShirts,"Very disappointed, expected better quality.",https://www.amazon.in/Jack-Jones-Solid-Casual-12142035White_Large/dp/B0795VYFWK/,https://images-na.ssl-images-amazon.com/images/I/31q1Y2jXqPL.jpg|https://images-na.ssl-images-amazon.com/images/I/31UcDm%2BIn9L.jpg|https://images-na.ssl-images-amazon.com/images/I/31RUMVVPupL.jpg|https://images-na.ssl-images-amazon.com/images/I/31XfC-ckG%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/21qYNajmMRL.jpg,disappointed expected better quality,-1,-1
